CustomerID,Country
17850.0,United Kingdom
13047.0,United Kingdom
12583.0,France
13748.0,United Kingdom
15100.0,United Kingdom
15291.0,United Kingdom
14688.0,United Kingdom
17809.0,United Kingdom
15311.0,United Kingdom
16098.0,United Kingdom
18074.0,United Kingdom
17420.0,United Kingdom
16029.0,United Kingdom
16250.0,United Kingdom
12431.0,Australia
17511.0,United Kingdom
13705.0,United Kingdom
13747.0,United Kingdom
13408.0,United Kingdom
13767.0,United Kingdom
17924.0,United Kingdom
13448.0,United Kingdom
15862.0,United Kingdom
15513.0,United Kingdom
12791.0,Netherlands
16218.0,United Kingdom
14045.0,United Kingdom
14307.0,United Kingdom
17908.0,United Kingdom
